CISR_ci_high,CISR_ci_low,K,K_primary,budget,candidate_count,ci_high,ci_low,contrast,environment_id,estimate,figure_panel,mean_CISR,mean_CTI,mean_hf_cost,median_CISR,method,n_seeds,oracle_noncomparable,oracle_reference,seed_n
,,4,,4,,0.0036765863511164505,0.0017162793232354415,Proxy - Paired LUCB,performative_control,0.002628389292718187,forest,,,,,,,,,30
,,4,,4,,0.0036871949599610893,0.0017172483907839896,Proxy - Global-VOI,performative_control,0.002628389292718187,forest,,,,,,,,,30
,,8,,4,,0.004673206618034812,0.002048071142331793,Proxy - PIVOT-VOI,performative_control,0.0032839643349830954,forest,,,,,,,,,30
,,8,,4,,0.006124320543554578,0.0036130380168833756,Proxy - Paired LUCB,performative_control,0.004838526742682748,forest,,,,,,,,,30
,,8,,4,,0.004574654549716638,0.001807517644347416,Proxy - Global-VOI,performative_control,0.003094292712916244,forest,,,,,,,,,30
,,16,,4,,0.006945966577501131,0.003499575395300105,Proxy - PIVOT-VOI,performative_control,0.005163669754586246,forest,,,,,,,,,30
,,16,,4,,0.008459142053984585,0.005164907406022091,Proxy - Paired LUCB,performative_control,0.00675482240809421,forest,,,,,,,,,30
,,16,,4,,0.007013467322544643,0.003495486023044979,Proxy - Global-VOI,performative_control,0.005185054778295543,forest,,,,,,,,,30
,,4,,4,,0.0,0.0,Proxy - PIVOT-VOI,congestion_resource,0.0,forest,,,,,,,,,30
,,4,,4,,0.0,0.0,Proxy - Paired LUCB,congestion_resource,0.0,forest,,,,,,,,,30
,,4,,4,,0.0,0.0,Proxy - Global-VOI,congestion_resource,0.0,forest,,,,,,,,,30
,,8,,4,,-0.0009152263010233755,-0.0027655019912291453,Proxy - PIVOT-VOI,congestion_resource,-0.0017990195519746825,forest,,,,,,,,,30
,,8,,4,,1.808503341074186e-05,-0.00017311825882229865,Proxy - Paired LUCB,congestion_resource,-5.1649421248408287e-05,forest,,,,,,,,,30
,,8,,4,,-0.0009307752802628712,-0.0029788589419711057,Proxy - Global-VOI,congestion_resource,-0.00188800377851841,forest,,,,,,,,,30
,,16,,4,,-0.001657103791871473,-0.0036134140516841805,Proxy - PIVOT-VOI,congestion_resource,-0.002600732617734954,forest,,,,,,,,,30
,,16,,4,,-9.06568453550601e-05,-0.0010167490824960473,Proxy - Paired LUCB,congestion_resource,-0.0004798357254187091,forest,,,,,,,,,30
,,16,,4,,-0.0011238850140618617,-0.002779894952855493,Proxy - Global-VOI,congestion_resource,-0.001919964743696508,forest,,,,,,,,,30
