root,adaptation,budget_queries,method,selected_idx,hf_queries,hf_episode_cost,hf_native_environment_steps,hf_native_agent_steps,hf_native_episode_compute_seconds,selected_audit_gain,empirical_oracle_regret,queries,selected_distribution,allocation_mc_se_gain
327,12,2,no_hf_v2,4,0,0,0.0,0.0,0.0,11.123239455024283,8.274532921554098,[],,
327,12,2,proxy_only,3,0,0,0.0,0.0,0.0,19.39777237657838,0.0,[],,
327,12,2,global_voi_heuristic,3,2,88,26361.0,166596.0,284.2004589936696,19.39777237657838,0.0,"[5, 4]",,
327,12,2,uniform_v2_expected_100,,2,88,26354.84,167061.37,284.91276633971194,14.929524598939166,4.468247777639215,,"[4, 3, 3, 4, 3, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 3, 4, 4, 3]",0.4144781937381419
327,12,4,pivot_kg,4,4,152,45505.0,285271.0,486.87424581462983,11.123239455024283,8.274532921554098,"[4, 5, 6, 1]",,
327,12,4,uniform_v2,3,4,152,45505.0,287841.0,491.49928597488906,19.39777237657838,0.0,"[3, 5, 4, 1]",,
327,12,4,ivr_v2,4,4,152,45505.0,285271.0,486.87424581462983,11.123239455024283,8.274532921554098,"[5, 4, 6, 1]",,
327,12,4,lucb_v2,4,4,152,45561.0,285560.0,486.90001751785167,11.123239455024283,8.274532921554098,"[5, 4, 3, 6]",,
327,12,4,no_hf_v2,4,0,0,0.0,0.0,0.0,11.123239455024283,8.274532921554098,[],,
327,12,4,proxy_only,3,0,0,0.0,0.0,0.0,19.39777237657838,0.0,[],,
327,12,4,global_voi_heuristic,3,4,152,45505.0,287841.0,491.49928597488906,19.39777237657838,0.0,"[5, 4, 1, 3]",,
