CISR,CTI,candidate_template_contract,environment_id,external_null,final_deployment_value,harmful_promotion_rate,hf_cost,hf_queries,method,rounds,seed,source_status,source_trajectories,trajectory_id
0.7363856562536844,-0.19857889879456214,shared_update_noise_by_environment_seed_round,performative_control,False,0.11283405167368471,0.55,0.0,0,global_value,40,9106,,,performative_control|seed=9106|method=global_value
8.510765135943128,-1.9437325353482349,shared_update_noise_by_environment_seed_round,performative_control,False,-1.755184742528768,0.55,2560.0,80,random_hf,40,9106,,,performative_control|seed=9106|method=random_hf
5.8595389723671945,-2.3541763388005776,shared_update_noise_by_environment_seed_round,performative_control,False,-2.159851435778512,0.55,2560.0,80,top_proxy_hf,40,9106,,,performative_control|seed=9106|method=top_proxy_hf
0.7562174018294539,-0.07555931505391067,shared_update_noise_by_environment_seed_round,performative_control,False,0.1938034327879176,0.625,2560.0,80,uncertainty_hf,40,9106,,,performative_control|seed=9106|method=uncertainty_hf
0.5043805641696342,-0.01817604287736982,shared_update_noise_by_environment_seed_round,performative_control,False,0.1922052442886464,0.575,2560.0,80,paired_lucb,40,9106,,,performative_control|seed=9106|method=paired_lucb
0.40335862446065873,-0.05641283550622586,shared_update_noise_by_environment_seed_round,performative_control,False,0.2083657055402709,0.525,2560.0,80,global_voi,40,9106,,,performative_control|seed=9106|method=global_voi
0.7625234918508554,-0.09167645759853266,shared_update_noise_by_environment_seed_round,performative_control,False,0.17313707234367062,0.625,2560.0,80,pivot_h,40,9106,,,performative_control|seed=9106|method=pivot_h
0.4363025494271929,-0.0563247487711985,shared_update_noise_by_environment_seed_round,performative_control,False,0.2138467810555224,0.575,2560.0,80,pivot_voi,40,9106,,,performative_control|seed=9106|method=pivot_voi
0.0,-0.05154266894427484,shared_update_noise_by_environment_seed_round,performative_control,False,0.21993667968708536,0.575,10240.0,320,all_hf,40,9106,,,performative_control|seed=9106|method=all_hf
3.775472321727537,-2.5436679698005675,shared_update_noise_by_environment_seed_round,performative_control,False,-2.398364336433255,0.55,0.0,0,proxy_only,40,9107,,,performative_control|seed=9107|method=proxy_only
0.8132224420173653,-0.04209437285629694,shared_update_noise_by_environment_seed_round,performative_control,False,0.17615769966380626,0.5,0.0,0,global_value,40,9107,,,performative_control|seed=9107|method=global_value
6.108947422403321,-2.3893683770763876,shared_update_noise_by_environment_seed_round,performative_control,False,-2.214983743531101,0.55,2560.0,80,random_hf,40,9107,,,performative_control|seed=9107|method=random_hf
7.605405761510829,-2.352462878848549,shared_update_noise_by_environment_seed_round,performative_control,False,-2.062112921016048,0.525,2560.0,80,top_proxy_hf,40,9107,,,performative_control|seed=9107|method=top_proxy_hf
1.679956791917102,-0.046908192225303874,shared_update_noise_by_environment_seed_round,performative_control,False,0.1922520774790995,0.575,2560.0,80,uncertainty_hf,40,9107,,,performative_control|seed=9107|method=uncertainty_hf
2.494124090198512,-0.03323941427117759,shared_update_noise_by_environment_seed_round,performative_control,False,0.2211309060213656,0.525,2560.0,80,paired_lucb,40,9107,,,performative_control|seed=9107|method=paired_lucb
0.8322439683504445,-0.023423445443886803,shared_update_noise_by_environment_seed_round,performative_control,False,0.2171653996179239,0.55,2560.0,80,global_voi,40,9107,,,performative_control|seed=9107|method=global_voi
1.4618742366428068,-0.028688329862714995,shared_update_noise_by_environment_seed_round,performative_control,False,0.20649383923568607,0.575,2560.0,80,pivot_h,40,9107,,,performative_control|seed=9107|method=pivot_h
1.313181379803155,-0.01755995754714401,shared_update_noise_by_environment_seed_round,performative_control,False,0.21528858645242624,0.6,2560.0,80,pivot_voi,40,9107,,,performative_control|seed=9107|method=pivot_voi
0.0,-0.002783754498586588,shared_update_noise_by_environment_seed_round,performative_control,False,0.2174305122618276,0.55,10240.0,320,all_hf,40,9107,,,performative_control|seed=9107|method=all_hf
4.156143888630039,-2.5559000376706735,shared_update_noise_by_environment_seed_round,performative_control,False,-2.303227886708421,0.55,0.0,0,proxy_only,40,9108,,,performative_control|seed=9108|method=proxy_only
1.1301431554801176,-0.1949749590215804,shared_update_noise_by_environment_seed_round,performative_control,False,-0.022582076956607473,0.6,0.0,0,global_value,40,9108,,,performative_control|seed=9108|method=global_value
8.382955397996108,-2.269054565570717,shared_update_noise_by_environment_seed_round,performative_control,False,-2.023901004011177,0.55,2560.0,80,random_hf,40,9108,,,performative_control|seed=9108|method=random_hf
6.815432820185219,-2.4407078468169243,shared_update_noise_by_environment_seed_round,performative_control,False,-2.190370146830624,0.55,2560.0,80,top_proxy_hf,40,9108,,,performative_control|seed=9108|method=top_proxy_hf
