root,type,adaptation,calibration,cap,method,selected,n_queries,hands_used,gain,isr,gain_registered_draw,isr_registered_draw,stop_reason,queries
98006,equilibrator,8,exact,32768,uniform_fixed,0,4,32768,0.27723179443000484,0.0036057582777400676,0.2808375527077449,0.0,budget_exhausted,"[[6, 4096, 0.128173828125], [0, 4096, 0.406982421875], [7, 4096, 0.15576171875], [4, 4096, 0.080078125]]"
98006,equilibrator,8,exact,32768,uniform_small,0,32,32768,0.2760465937717215,0.004790958936023382,0.2808375527077449,0.0,budget_exhausted,"[[6, 512, 0.115234375], [0, 512, 0.400390625], [7, 512, 0.06640625], [5, 512, 0.083984375], [0, 512, 0.181640625], [2, 512, -0.005859375], [3, 512, 0.220703125], [1, 512, 0.53125], [6, 512, 0.0], [6, 512, 0.197265625], [1, 512, 0.06640625], [1, 512, 0.162109375], [6, 512, 0.015625], [0, 512, 0.482421875], [2, 512, 0.109375], [6, 512, -0.005859375], [4, 512, 0.00390625], [4, 512, 0.046875], [2, 512, -0.009765625], [5, 512, 0.111328125], [3, 512, 0.224609375], [5, 512, -0.07421875], [3, 512, 0.015625], [0, 512, 0.611328125], [0, 512, 0.40625], [2, 512, 0.3515625], [3, 512, -0.1875], [4, 512, 0.095703125], [5, 512, 0.171875], [0, 512, 0.609375], [1, 512, 0.166015625], [4, 512, 0.1328125]]"
98006,equilibrator,8,noisy_audit,8192,pivot_kg_menu,1,8,8192,0.127526866754997,0.1533106859527479,0.127526866754997,0.1533106859527479,budget_exhausted,"[[0, 512, 0.400390625], [7, 512, 0.06640625], [5, 512, 0.083984375], [1, 512, 0.53125], [0, 512, 0.181640625], [3, 512, 0.220703125], [6, 512, 0.115234375], [4, 512, 0.00390625]]"
98006,equilibrator,8,noisy_audit,8192,pivot_kg_menu_stop,1,8,8192,0.127526866754997,0.1533106859527479,0.127526866754997,0.1533106859527479,budget_exhausted,"[[0, 512, 0.400390625], [7, 512, 0.06640625], [5, 512, 0.083984375], [1, 512, 0.53125], [0, 512, 0.181640625], [3, 512, 0.220703125], [6, 512, 0.115234375], [4, 512, 0.00390625]]"
98006,equilibrator,8,noisy_audit,8192,pivot_kg_fixed,0,1,8192,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 4096, 0.406982421875]]"
98006,equilibrator,8,noisy_audit,8192,pivot_kg_menu_unpaired,0,8,8192,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 512, 0.720703125], [7, 512, -0.005859375], [3, 512, 0.40625], [6, 512, -0.142578125], [5, 512, 0.0390625], [0, 512, 0.607421875], [1, 512, 0.64453125], [1, 512, -0.169921875]]"
98006,equilibrator,8,noisy_audit,8192,ivr_menu,1,8,8192,0.127526866754997,0.1533106859527479,0.127526866754997,0.1533106859527479,budget_exhausted,"[[0, 512, 0.400390625], [7, 512, 0.06640625], [6, 512, 0.115234375], [3, 512, 0.220703125], [5, 512, 0.083984375], [4, 512, 0.00390625], [1, 512, 0.53125], [0, 512, 0.181640625]]"
98006,equilibrator,8,noisy_audit,8192,ivr_fixed,0,1,8192,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 4096, 0.406982421875]]"
98006,equilibrator,8,noisy_audit,8192,lucb_fixed,0,1,8192,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 4096, 0.406982421875]]"
98006,equilibrator,8,noisy_audit,8192,top_proxy_fixed,0,1,8192,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 4096, 0.406982421875]]"
