actor_positive,delta_actor,delta_direct,delta_strategic,figure_panel,opponent_mode,opponent_seed,strategic_effect
1.0,0.0072348283534856665,0.08423433236084676,-0.016348213001360353,cluster_layers,rl_evolutionary,9816,-0.023583041354846023
0.875,0.006063711756527784,0.09984252092371904,-0.014679921608348856,cluster_layers,rl_evolutionary,9817,-0.02074363336487664
1.0,0.007781815251761137,0.10391312429819315,-0.015133097441155263,cluster_layers,rl_evolutionary,9818,-0.0229149126929164
0.875,0.008303067651041066,0.08337385037671696,-0.011819678841502748,cluster_layers,rl_evolutionary,9819,-0.02012274649254381
1.0,0.008624937924629004,0.10086266679026397,-0.017510910787160217,cluster_layers,rl_evolutionary,9820,-0.026135848711789218
1.0,0.007090717705694527,0.10381323493161147,-0.013862922160163724,cluster_layers,rl_evolutionary,9821,-0.020953639865858253
0.875,0.005997547295745562,0.09830006587509725,-0.018474855485397887,cluster_layers,rl_evolutionary,9822,-0.02447240278114345
0.875,0.0039036345932006618,0.09589746226102858,-0.016674643867298698,cluster_layers,rl_evolutionary,9823,-0.020578278460499363
1.0,0.005858845445013857,0.07707212377615554,-0.021735222750359842,cluster_layers,rl_evolutionary,9824,-0.0275940681953737
1.0,0.006991561642391689,0.0887360679506108,-0.015946938523655155,cluster_layers,rl_evolutionary,9825,-0.022938500166046843
1.0,0.005539659585857806,0.11247017704081548,-0.020313393111691936,cluster_layers,rl_evolutionary,9826,-0.02585305269754974
1.0,0.009482720760998486,0.09816029969089846,-0.018665080313620908,cluster_layers,rl_evolutionary,9827,-0.028147801074619394
1.0,0.007240258055884317,0.06858320757497043,-0.01147874943669023,cluster_layers,rl_evolutionary,9828,-0.01871900749257455
1.0,0.005859439082483726,0.08204675785885217,-0.015325198092275375,cluster_layers,rl_evolutionary,9829,-0.021184637174759102
1.0,0.006122266968305524,0.09758192032398642,-0.016785731108247985,cluster_layers,rl_evolutionary,9830,-0.02290799807655351
