CISR,CISR_ci_high,CISR_ci_low,CISR_cumulative_mean,CTI,CTI_ci_high,CTI_ci_low,CTI_cumulative_mean,environment_id,frozen_external_null,method,round,seed_n,source_status
,0.21597198415780078,0.1332418065745724,0.1712500679991308,,-0.24051702032236083,-0.336682755419715,-0.28589463265015286,performative_control,False,global_voi,5,30,
,0.2833514186668618,0.1760182371911919,0.22511526069443852,,-0.29251206470827146,-0.4110451161710922,-0.34568488004492404,performative_control,False,global_voi,6,30,
,0.3070575295268374,0.1969020399704819,0.2475412493983954,,-0.1757009015965048,-0.2598178543657067,-0.21494371714941,performative_control,False,global_voi,7,30,
,0.38019818442579917,0.23878283396304273,0.3030880157715678,,-0.1843854467844591,-0.29576542592784094,-0.23400749125751044,performative_control,False,global_voi,8,30,
,0.4252969788145385,0.2670395094092599,0.33889490173671616,,-0.13960206788780877,-0.23075655256157004,-0.18140439186374605,performative_control,False,global_voi,9,30,
,0.45177628454977437,0.29501592801425236,0.3673584576529431,,-0.11378606826591571,-0.18171776374959536,-0.14645457808599813,performative_control,False,global_voi,10,30,
,0.49754676333373327,0.32302797776072195,0.40392109065661963,,-0.1106297435643783,-0.19397461807331653,-0.149194405174559,performative_control,False,global_voi,11,30,
,0.5333094451127068,0.33802510257259294,0.42723608517357486,,-0.06651566233406092,-0.15775934332137148,-0.1041360428323959,performative_control,False,global_voi,12,30,
,0.5676911706968494,0.3612964670491311,0.45648659030005817,,-0.08864927325684764,-0.17462294900844863,-0.12852763017101043,performative_control,False,global_voi,13,30,
,0.5809755372035272,0.3708043314091392,0.4676302044759218,,-0.04745673992986376,-0.09720994432165252,-0.07024873196383664,performative_control,False,global_voi,14,30,
,0.6309239387443977,0.3916151026613332,0.5000637524869801,,-0.07634275150218602,-0.16221132910288186,-0.11470018958789231,performative_control,False,global_voi,15,30,
,0.6362517626514694,0.3965640960297597,0.5052557973125004,,-0.032837374151850014,-0.07704417897605215,-0.05269467931212708,performative_control,False,global_voi,16,30,
,0.6735950095827079,0.4192274941446466,0.5353145299753085,,-0.06624117423243159,-0.1390092938580804,-0.0999584780643447,performative_control,False,global_voi,17,30,
,0.6798076451640818,0.42559715763727013,0.5416938875935295,,-0.028250000411723392,-0.06402816052804466,-0.04460724323090474,performative_control,False,global_voi,18,30,
,0.7010857588982532,0.43984252874376306,0.5594278176796851,,-0.04202068244985638,-0.08498936116621522,-0.061660847330834,performative_control,False,global_voi,19,30,
,0.7063912170587383,0.4442642298080579,0.5640940772762939,,-0.023787079924043657,-0.051809418511879056,-0.036473573347312015,performative_control,False,global_voi,20,30,
,0.7224074380986512,0.4534512092584174,0.5763628335984367,,-0.03466686135349306,-0.06722867803775677,-0.04940935411507614,performative_control,False,global_voi,21,30,
,0.7281522788625302,0.4586267076244721,0.5822085343765452,,-0.01823415908173319,-0.03987626145631178,-0.02814722228948631,performative_control,False,global_voi,22,30,
,0.7360413073415296,0.46644890565469055,0.5901652902198936,,-0.026062320862245695,-0.04903211654655106,-0.03654104848276415,performative_control,False,global_voi,23,30,
,0.7429409838675899,0.47147108413269817,0.5961172873650559,,-0.01721406953767513,-0.034185618106353184,-0.025264443701449722,performative_control,False,global_voi,24,30,
,0.7496214323046118,0.4788993902884175,0.6035978488170695,,-0.019910480208633622,-0.03929791670308473,-0.029098978624925744,performative_control,False,global_voi,25,30,
,0.7559973303422796,0.48458344107059587,0.6093853714962169,,-0.01701776670370011,-0.03165177349828293,-0.024208959141606066,performative_control,False,global_voi,26,30,
,0.7659866113343465,0.4928883220142065,0.6176774852765284,,-0.01648889916256408,-0.03384798533105807,-0.02472087222962203,performative_control,False,global_voi,27,30,
,0.7706835331860845,0.497541155926807,0.6221886335678096,,-0.016442339313579385,-0.03111325942727691,-0.02380123531837465,performative_control,False,global_voi,28,30,
,0.7760438800272589,0.5027288479770962,0.6271253136580129,,-0.012414613176427619,-0.02929509165778319,-0.020620223057692632,performative_control,False,global_voi,29,30,
,0.7789999062011168,0.5065238792754175,0.6306053304983805,,-0.012631569425003781,-0.028271314713643504,-0.0205943294705019,performative_control,False,global_voi,30,30,
,0.7839880450006584,0.5121982629510137,0.6356353118836774,,-0.011250527956622618,-0.027382278192979427,-0.01941014595093359,performative_control,False,global_voi,31,30,
,0.7905681756510184,0.5195593663261613,0.6428207496649109,,-0.016195218638452493,-0.032377075830453315,-0.024560605842922925,performative_control,False,global_voi,32,30,
,0.7958523031691034,0.5266065242649348,0.6489135452975486,,-0.012829604279652997,-0.02977051381059217,-0.02146089405197896,performative_control,False,global_voi,33,30,
,0.8021661233047811,0.5328642771008719,0.6550487692198205,,-0.013897300881074623,-0.031180350869264014,-0.022826716887471208,performative_control,False,global_voi,34,30,
,0.807352094961483,0.538865221892308,0.660873081944776,,-0.015185451115375512,-0.03336284352431896,-0.02429463627957823,performative_control,False,global_voi,35,30,
,0.8160561663156172,0.5483889333629488,0.6699244443833804,,-0.018777229316605484,-0.03711486667521684,-0.027662487822067913,performative_control,False,global_voi,36,30,
,0.8204709918980315,0.5534928554201622,0.6748396174658209,,-0.018343904116819472,-0.03797545277502459,-0.028028179899612714,performative_control,False,global_voi,37,30,
,0.828441939868554,0.5633818998492732,0.6838316582660099,,-0.019770123872938243,-0.04109070407569207,-0.030168147330535702,performative_control,False,global_voi,38,30,
,0.8345504843194435,0.5697092290338417,0.6900945550699886,,-0.019148217841399025,-0.039179080236263125,-0.029325402550510745,performative_control,False,global_voi,39,30,
,0.004033434291768773,0.0019310457793964729,0.0029052748992261816,,0.008084953480060811,0.005777573374567874,0.007030078990082801,performative_control,False,pivot_voi,0,30,
,0.03351849918335781,0.02009632436896168,0.02636784396094867,,-0.01851100224950345,-0.03413543950347651,-0.025974049929297787,performative_control,False,pivot_voi,1,30,
,0.10283149501012583,0.06479946896173401,0.08287619426165702,,-0.08382803441425203,-0.12290007073147208,-0.10273388175903393,performative_control,False,pivot_voi,2,30,
,0.19390618564968617,0.1375487014544405,0.16526904275551377,,-0.19379621219850193,-0.2610846305017146,-0.22675870340367194,performative_control,False,pivot_voi,3,30,
,0.3554049038749437,0.24651824061574212,0.2991828393991591,,-0.34571454126232537,-0.4722129405590427,-0.4066519798271913,performative_control,False,pivot_voi,4,30,
,0.5938018381708727,0.4073619695374729,0.4971720691686129,,-0.553519795833366,-0.7632120662043951,-0.6566253741292044,performative_control,False,pivot_voi,5,30,
,0.6843184424709163,0.4824419985917555,0.581486486262206,,-0.41239091184664484,-0.6269927335713547,-0.5116557830553645,performative_control,False,pivot_voi,6,30,
,0.7920091538553772,0.5487063050785425,0.6663834225774086,,-0.47203196142779114,-0.6955599423231026,-0.5778869512106023,performative_control,False,pivot_voi,7,30,
,0.8748079145602027,0.6134166159040385,0.7414185167227151,,-0.32838345293167337,-0.5271935481076416,-0.42051738732515853,performative_control,False,pivot_voi,8,30,
,0.9243537515418802,0.6547930890400738,0.7877484689100708,,-0.37013431958479376,-0.5506729727005216,-0.45640644637454364,performative_control,False,pivot_voi,9,30,
,0.9745180458080553,0.6903221559063217,0.8302135420181925,,-0.24143176306159164,-0.38478958119521833,-0.30897298178484117,performative_control,False,pivot_voi,10,30,
,0.9984233634271493,0.7108685561002043,0.8528020613049886,,-0.26231034292807776,-0.4166715391250039,-0.33518972190719765,performative_control,False,pivot_voi,11,30,
,1.0336737124865876,0.734626275502977,0.881994005688069,,-0.18510925715583346,-0.3107166636818233,-0.2451184803319684,performative_control,False,pivot_voi,12,30,
,1.0690496180164364,0.7528072619564223,0.907984720319117,,-0.18370102327398788,-0.3260876681688504,-0.2501974983999375,performative_control,False,pivot_voi,13,30,
,1.0948895293630632,0.7649535873757014,0.9263091963624418,,-0.11909318018302623,-0.21650193831098655,-0.16638401323185756,performative_control,False,pivot_voi,14,30,
,1.103583257271642,0.7729818146324016,0.9353249265266891,,-0.12220883042817153,-0.22380031448356283,-0.17050747269998917,performative_control,False,pivot_voi,15,30,
,1.1276198811972724,0.7855545608914318,0.9522920785718494,,-0.08511944810916815,-0.15807501852093542,-0.12100371230138271,performative_control,False,pivot_voi,16,30,
,1.1406641493342147,0.7944844673662231,0.9623554593645345,,-0.07411071678530826,-0.16231675234632176,-0.11493887536913348,performative_control,False,pivot_voi,17,30,
,1.146898048762366,0.7977785731236365,0.9680174120694633,,-0.05200523110856001,-0.10854673699803481,-0.07854349953534369,performative_control,False,pivot_voi,18,30,
,1.1616223653640385,0.8064536717449269,0.9788881352356307,,-0.04098663417297199,-0.10021876365173045,-0.0677659425984917,performative_control,False,pivot_voi,19,30,
,1.1633404401111143,0.8091160024199228,0.9811934973847817,,-0.032124008466775586,-0.06897109721820108,-0.04992565892113976,performative_control,False,pivot_voi,20,30,
,1.169671494044681,0.8121110908567611,0.9859238196249424,,-0.02569580956327666,-0.06631819390953776,-0.04430059149339541,performative_control,False,pivot_voi,21,30,
,1.1756894268996467,0.8176869826696861,0.9915161512738161,,-0.024928769164833765,-0.04756768002019246,-0.03613071195558378,performative_control,False,pivot_voi,22,30,
,1.1818048612474141,0.8235491582902258,0.9975546170631626,,-0.022077301052370372,-0.051687954558218736,-0.03554216930922058,performative_control,False,pivot_voi,23,30,
,1.187299828610454,0.8290475570059587,1.0035833829979726,,-0.019966317406588184,-0.037021462077784506,-0.028543206067500958,performative_control,False,pivot_voi,24,30,
,1.191333294156952,0.8344593972731047,1.0080148367478599,,-0.01958590676319367,-0.03923706717350379,-0.029156531732968012,performative_control,False,pivot_voi,25,30,
,1.1984746766955925,0.8417485782720387,1.0156437329480843,,-0.02033891450837732,-0.03675126476684752,-0.0285562345758453,performative_control,False,pivot_voi,26,30,
,1.2057364162020676,0.8521864646025485,1.0242069646391256,,-0.02124127006423742,-0.037346618643459346,-0.029167835568201194,performative_control,False,pivot_voi,27,30,
,1.2148772187940629,0.8604331592810128,1.032642093440058,,-0.018372753724581057,-0.036254951018966045,-0.027292963338540636,performative_control,False,pivot_voi,28,30,
,1.222066507779287,0.8682369963437895,1.0401899407915625,,-0.020006209529489193,-0.03755432613939432,-0.02863546526305302,performative_control,False,pivot_voi,29,30,
,1.236645075785084,0.8810222224660496,1.0538855913056144,,-0.02578249423126553,-0.04840924734393566,-0.036745258875036976,performative_control,False,pivot_voi,30,30,
,1.2479219205660632,0.8952128692224179,1.0671587651729126,,-0.030241207830877758,-0.04739090724075965,-0.03866386492387792,performative_control,False,pivot_voi,31,30,
,1.2613737449321174,0.9071865353899021,1.0794316218417346,,-0.028342452009369263,-0.05501031719388419,-0.04118846325630329,performative_control,False,pivot_voi,32,30,
,1.2744495883569196,0.9218887160095869,1.0936532896368754,,-0.035269922550615763,-0.05647713427528163,-0.04567803626775842,performative_control,False,pivot_voi,33,30,
,1.3019506773962868,0.9424225180219366,1.1167699503092856,,-0.0353772152623902,-0.07782602328797598,-0.05503378646501819,performative_control,False,pivot_voi,34,30,
