CISR_ci_high,CISR_ci_low,budget,candidate_count,environment_id,mean_CISR,mean_CTI,mean_hf_cost,median_CISR,method,n_seeds,oracle_noncomparable
0.0,0.0,16,8,congestion_resource,0.0,0.07397021626843132,8.0,0.0,paired_lucb,30,False
0.0,0.0,16,8,performative_control,0.0,0.009885546883269695,8.0,0.0,paired_lucb,30,False
0.0020926598060990965,0.0004691538104765007,2,16,congestion_resource,0.0011960429831668043,0.07527461560570627,2.0,0.0,paired_lucb,30,False
0.004267627889299249,0.0019587945201460628,2,16,performative_control,0.003020977357701317,0.007013373285146702,2.0,0.0016762920146654314,paired_lucb,30,False
0.0008812136091732147,1.4860003102020365e-05,2,4,congestion_resource,0.00038493434359474497,0.06955638939475352,2.0,0.0,paired_lucb,30,False
0.0008383661296690783,0.0003134278246000929,2,4,performative_control,0.000554284094838652,0.009192627388020526,2.0,0.0003777283811596671,paired_lucb,30,False
0.0008568576673543641,5.7720246551821544e-05,2,8,congestion_resource,0.0004088723037948087,0.07356134396463652,2.0,0.0,paired_lucb,30,False
0.0020614668262262316,0.000944267205181667,2,8,performative_control,0.0014620054294387879,0.008423541453830907,2.0,0.0008818300407903157,paired_lucb,30,False
0.0010162796053551932,8.848081886270546e-05,4,16,congestion_resource,0.0004858640698889564,0.07598479451898413,4.0,0.0,paired_lucb,30,False
0.002322078743099276,0.0008742610526786739,4,16,performative_control,0.001498717436379557,0.008535633206468463,4.0,0.0008653368296214631,paired_lucb,30,False
0.0,0.0,4,4,congestion_resource,0.0,0.06994132373834828,4.0,0.0,paired_lucb,30,False
0.0,0.0,4,4,performative_control,0.0,0.009746911482859177,4.0,0.0,paired_lucb,30,False
0.00017316073965546465,0.0,4,8,congestion_resource,5.7720246551821544e-05,0.07391249602187953,4.0,0.0,paired_lucb,30,False
0.0005548998329964123,0.0002916601809387763,4,8,performative_control,0.00042134796860205753,0.009464198914667637,4.0,0.00041713062124650035,paired_lucb,30,False
0.0,0.0,8,16,congestion_resource,0.0,0.07647065858887306,8.0,0.0,paired_lucb,30,False
0.0007373324533344028,0.0003305573489006864,8,16,performative_control,0.0005006065410385877,0.009533744101809431,8.0,0.0003625980765588205,paired_lucb,30,False
0.0,0.0,8,4,congestion_resource,0.0,0.06994132373834828,4.0,0.0,paired_lucb,30,False
0.0,0.0,8,4,performative_control,0.0,0.009746911482859177,4.0,0.0,paired_lucb,30,False
0.0,0.0,8,8,congestion_resource,0.0,0.07397021626843132,8.0,0.0,paired_lucb,30,False
0.0,0.0,8,8,performative_control,0.0,0.009885546883269695,8.0,0.0,paired_lucb,30,False
0.003333324264745121,0.001174507946323514,0,16,congestion_resource,0.0021831214639755608,0.07428753712489751,0.0,0.0,pivot_h,30,False
0.004285030092766175,0.0023691320301120894,0,16,performative_control,0.003293578114843368,0.006740772528004651,0.0,0.002266406111946978,pivot_h,30,False
0.0024750378842386986,0.0005437895237210301,0,4,congestion_resource,0.001440058730806685,0.06850126500754158,0.0,0.0,pivot_h,30,False
0.0030367200220843033,0.0012243933651355182,0,4,performative_control,0.002032956276147861,0.007713955206711318,0.0,0.0010830520166123375,pivot_h,30,False
0.0028818948050959737,0.00080091873343369,0,8,congestion_resource,0.001774313324547642,0.07219590294388371,0.0,0.0,pivot_h,30,False
0.002874916757408376,0.0015759620748550824,0,8,performative_control,0.0021860941000863814,0.007699452783183315,0.0,0.0014221150856470188,pivot_h,30,False
0.003691318761771105,0.0015348618773148974,1,16,congestion_resource,0.002551864905305993,0.07391879368356707,1.0,0.0019467281119290303,pivot_h,30,False
0.0036395214858759082,0.0018857105300926526,1,16,performative_control,0.002708263839356141,0.007326086803491879,1.0,0.0019285988684110272,pivot_h,30,False
0.0023063324187177535,0.0005418672080778835,1,4,congestion_resource,0.001353064295286303,0.06858825944306196,1.0,0.0,pivot_h,30,False
0.0024697938100584904,0.0008523651131144542,1,4,performative_control,0.0015341502578876491,0.00821276122497153,1.0,0.0009025590300793251,pivot_h,30,False
0.002870606125339547,0.0008077701173455997,1,8,congestion_resource,0.001774313324547642,0.07219590294388371,1.0,0.0,pivot_h,30,False
0.0028762039138960607,0.0016048885946304485,1,8,performative_control,0.002196316642854903,0.007689230240414793,1.0,0.0014221150856470188,pivot_h,30,False
0.0,0.0,16,16,congestion_resource,0.0,0.07647065858887306,16.0,0.0,pivot_h,30,False
0.0,0.0,16,16,performative_control,0.0,0.010034350642848019,16.0,0.0,pivot_h,30,False
0.0,0.0,16,4,congestion_resource,0.0,0.06994132373834828,4.0,0.0,pivot_h,30,False
0.0,0.0,16,4,performative_control,0.0,0.009746911482859177,4.0,0.0,pivot_h,30,False
0.0,0.0,16,8,congestion_resource,0.0,0.07397021626843132,8.0,0.0,pivot_h,30,False
0.0,0.0,16,8,performative_control,0.0,0.009885546883269695,8.0,0.0,pivot_h,30,False
0.002942312086829362,0.0011873308538323424,2,16,congestion_resource,0.0020383847296463215,0.07443227385922675,2.0,0.0011110026748542001,pivot_h,30,False
0.0036056628298520616,0.0018904404316319875,2,16,performative_control,0.0027045206941587806,0.007329829948689239,2.0,0.002008871281501637,pivot_h,30,False
0.0022677518072868642,0.0005124978289206567,2,4,congestion_resource,0.0013079189648557996,0.06863340477349246,2.0,0.0,pivot_h,30,False
0.0012165991665520819,0.0004952252796410811,2,4,performative_control,0.0008323263770858338,0.008914585105773342,2.0,0.0005247272850338325,pivot_h,30,False
0.0029835870863407017,0.0008192493617275436,2,8,congestion_resource,0.0018194643828825816,0.07215075188554877,2.0,0.0,pivot_h,30,False
0.002288147073948809,0.0013412209649574173,2,8,performative_control,0.001776833346974662,0.008108713536295034,2.0,0.0013049796888308512,pivot_h,30,False
0.003813253712583484,0.0017190280373206193,4,16,congestion_resource,0.0027129118071109737,0.07375774678176208,4.0,0.002468759495659889,pivot_h,30,False
0.003419941565359433,0.0018068500173777438,4,16,performative_control,0.0025464283366351823,0.007487922306212837,4.0,0.0019285988684110272,pivot_h,30,False
0.0,0.0,4,4,congestion_resource,0.0,0.06994132373834828,4.0,0.0,pivot_h,30,False
0.0,0.0,4,4,performative_control,0.0,0.009746911482859177,4.0,0.0,pivot_h,30,False
0.0037432687087307318,0.0012602960224842562,4,8,congestion_resource,0.0024022692927452034,0.07156794697568612,4.0,0.00029889803318589037,pivot_h,30,False
0.001754704929261533,0.0009613099718521489,4,8,performative_control,0.0013368109211926418,0.008548735962077055,4.0,0.0011686069551330586,pivot_h,30,False
0.0028361252214519467,0.0009547503583527851,8,16,congestion_resource,0.001828921824247387,0.07464173676462568,8.0,4.877423581983731e-05,pivot_h,30,False
0.0028010732180225486,0.0014733453948684479,8,16,performative_control,0.0020872373537119495,0.00794711328913607,8.0,0.0015430521488428856,pivot_h,30,False
0.0,0.0,8,4,congestion_resource,0.0,0.06994132373834828,4.0,0.0,pivot_h,30,False
0.0,0.0,8,4,performative_control,0.0,0.009746911482859177,4.0,0.0,pivot_h,30,False
0.0,0.0,8,8,congestion_resource,0.0,0.07397021626843132,8.0,0.0,pivot_h,30,False
0.0,0.0,8,8,performative_control,0.0,0.009885546883269695,8.0,0.0,pivot_h,30,False
0.003322675739013951,0.00114628974762125,0,16,congestion_resource,0.0021831214639755608,0.07428753712489751,0.0,0.0,pivot_voi,30,False
0.004310996667004405,0.0023625982343920037,0,16,performative_control,0.003293578114843368,0.006740772528004651,0.0,0.002266406111946978,pivot_voi,30,False
